playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
wilsoar01,1921,1,CLE,AL,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,,
wilsomi01,1921,1,PIT,NL,5,4,0,0,0,0,0,0,0,0,0,0,,0,0,,
wingoiv01,1921,1,CIN,NL,97,295,20,79,7,6,3,38,3,2,21,14,,1,8,,
winteje01,1921,1,PHI,NL,18,39,2,5,1,0,0,3,0,0,0,16,,0,1,,
wirtske01,1921,1,CHN,NL,7,11,0,2,0,0,0,1,0,0,0,3,,0,0,,
wittwh01,1921,1,PHA,AL,154,629,100,198,31,11,4,45,16,15,77,52,,1,19,,
wolfle01,1921,1,PHA,AL,8,4,0,1,0,0,0,0,0,0,0,0,,0,0,,
woodala01,1921,1,DET,AL,46,80,10,29,4,1,0,14,1,0,6,7,,0,6,,
woodjo02,1921,1,CLE,AL,66,194,32,71,16,5,4,60,2,0,25,17,,0,10,,
woodwfr01,1921,1,WS1,AL,3,3,1,1,0,0,0,0,0,0,0,0,,0,0,,
wrighru01,1921,1,PHI,NL,109,372,59,110,13,4,9,51,4,4,18,20,,2,6,,
yaryaya01,1921,1,CHA,AL,45,102,11,31,8,2,0,15,0,0,9,16,,1,3,,
yelloch01,1921,1,PIT,NL,10,17,1,0,0,0,0,0,0,0,0,4,,1,0,,
yorkle01,1921,1,CHN,NL,40,39,2,5,1,0,0,5,0,0,1,12,,1,3,,
yoterel01,1921,1,PHA,AL,3,3,0,0,0,0,0,0,0,0,0,0,,0,0,,
youngra01,1921,1,DET,AL,107,401,70,120,8,3,0,29,11,9,69,23,,3,13,,
youngro01,1921,1,NY1,NL,141,504,90,165,24,16,3,102,21,17,71,47,,1,18,,
zachato01,1921,1,WS1,AL,39,90,9,23,1,4,0,9,0,0,2,23,,1,3,,
zinkwa01,1921,1,NY1,NL,2,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
zinnji01,1921,1,PIT,NL,33,49,6,11,2,0,0,3,1,1,1,10,,0,0,,
acostjo01,1922,1,CHA,AL,5,5,0,1,0,0,0,0,0,0,1,1,,0,0,,
adamsba01,1922,1,PIT,NL,27,56,6,16,2,0,1,6,0,0,4,7,,0,5,,
adamssp01,1922,1,CHN,NL,11,44,5,11,0,1,0,3,1,2,4,3,,0,1,,
ainsmed01,1922,1,SLN,NL,119,379,46,111,14,4,13,59,2,3,28,43,,1,10,,
aldrivi01,1922,1,CHN,NL,36,100,8,26,1,3,0,13,1,0,1,6,,0,7,,
alexape01,1922,1,CHN,NL,33,85,4,15,1,0,0,11,0,0,6,16,,0,4,,
austiji01,1922,1,SLA,AL,15,31,6,9,3,1,0,1,0,0,3,2,,0,0,,
bagbyji01,1922,1,CLE,AL,25,42,4,11,6,0,0,6,0,0,1,3,,1,0,,
bailebi01,1922,1,SLN,NL,12,7,0,2,0,0,0,0,0,0,0,1,,0,0,,
bakerfr01,1922,1,NYA,AL,69,234,30,65,12,3,7,36,1,3,15,14,,2,7,,
bancrda01,1922,1,NY1,NL,156,651,117,209,41,5,4,60,16,11,79,27,,3,12,,
barbawa01,1922,1,BSN,NL,106,373,38,86,5,4,0,40,2,0,21,22,,0,14,,
barbetu01,1922,1,CHN,NL,84,226,35,70,7,4,0,29,7,4,30,9,,0,6,,
barfocl01,1922,1,SLN,NL,42,34,3,12,1,1,0,4,0,0,4,3,,0,0,,
barneje01,1922,1,NY1,NL,37,77,9,14,0,1,0,10,0,0,5,4,,0,4,,
barnevi01,1922,1,NY1,NL,22,12,1,2,0,0,0,0,0,0,0,5,,0,1,,
barnhcl01,1922,1,PIT,NL,75,209,30,69,7,5,1,38,3,2,25,7,,0,5,,
bassljo01,1922,1,DET,AL,121,372,41,120,14,0,0,41,2,1,62,12,,2,17,,
baumgst01,1922,1,PHI,NL,6,3,1,1,0,0,0,0,0,0,1,1,,0,0,,
baynebi01,1922,1,SLA,AL,26,30,2,7,0,0,0,3,0,0,0,10,,0,0,,
bedgoph01,1922,1,CLE,AL,1,2,0,0,0,0,0,0,0,0,0,1,,1,1,,
behanpe01,1922,1,PHI,NL,7,20,3,5,1,0,0,2,0,0,0,4,,0,0,,
bentora01,1922,1,PHI,NL,6,19,1,4,1,0,0,3,0,0,2,1,,0,0,,
bentosi01,1922,1,SLN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bergejo02,1922,1,PHA,AL,2,1,0,1,0,0,0,0,1,0,0,0,,0,0,,
berryjo02,1922,1,NY1,NL,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
bettshu01,1922,1,PHI,NL,7,4,1,0,0,0,0,0,0,0,1,1,,0,0,,
bigbeca01,1922,1,PIT,NL,150,614,113,215,29,15,5,99,24,15,56,13,,1,20,,
billijo01,1922,1,SLA,AL,5,7,0,3,1,0,0,1,0,0,0,0,,0,0,,
bladera01,1922,1,SLN,NL,37,130,27,39,2,4,3,21,3,3,25,21,,4,4,,
blankho01,1922,1,CHA,AL,4,4,0,0,0,0,0,0,0,0,0,2,,0,0,,
blankte01,1922,1,CHA,AL,24,41,3,7,1,1,0,3,0,0,1,8,,0,3,,
bluegos01,1922,1,WS1,AL,19,61,5,12,1,0,0,2,1,0,7,7,,2,1,,
bluelu01,1922,1,DET,AL,145,584,131,175,31,9,6,45,8,5,82,48,,7,8,,
blumecl01,1922,1,NY1,NL,1,1,1,1,0,0,0,0,0,0,2,0,,0,0,,
boeckto01,1922,1,BSN,NL,119,402,61,116,19,6,6,47,14,8,35,32,,2,11,,
bohnesa01,1922,1,CIN,NL,112,383,53,105,14,5,3,51,13,8,39,18,,2,11,,
booneda01,1922,1,CLE,AL,11,26,0,5,1,0,0,1,0,0,0,1,,0,1,,
booneik01,1922,1,NY1,NL,2,2,0,1,0,0,0,0,0,0,0,1,,0,0,,
bottoji01,1922,1,SLN,NL,37,151,29,49,8,5,5,35,3,1,6,13,,2,2,,
bowleem01,1922,1,CHA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
braxtga01,1922,1,BSN,NL,25,16,0,1,0,0,0,1,0,0,0,6,,0,3,,
brazifr01,1922,1,PHA,AL,6,13,0,1,0,0,0,1,0,0,0,1,,0,0,,
bressru01,1922,1,CIN,NL,52,53,7,14,0,2,0,8,1,0,4,4,,0,1,,
brillji01,1922,1,WS1,AL,31,36,0,3,0,0,0,1,0,0,0,14,,1,1,,
bronkhe01,1922,1,SLA,AL,23,64,7,18,4,1,0,2,0,2,6,7,,0,4,,
browefr01,1922,1,WS1,AL,139,471,61,138,20,6,9,71,8,6,52,25,,10,13,,
brownmy01,1922,1,PIT,NL,7,11,1,3,0,0,0,3,0,0,2,2,,0,2,,
bruggfr01,1922,1,PHA,AL,53,111,10,31,7,0,0,9,1,2,6,11,,1,1,,
bubseha01,1922,1,CHA,AL,3,3,0,0,0,0,0,0,0,0,0,2,,0,0,,
burnsge01,1922,1,CIN,NL,156,631,104,180,20,10,1,53,30,23,78,38,,2,12,,
burnsge02,1922,1,BOS,AL,147,558,71,171,32,5,12,73,8,2,20,28,,9,15,,
bushdo01,1922,1,WS1,AL,41,134,17,32,4,1,0,7,1,1,21,7,,0,4,,
bushjo01,1922,1,NYA,AL,39,95,15,31,6,2,0,12,0,1,3,11,,0,5,,
cadorle01,1922,1,BRO,NL,29,71,7,19,0,1,2,10,0,0,2,15,,0,3,,
callafr01,1922,1,PHA,AL,29,48,5,13,0,2,0,4,0,0,0,13,,0,2,,
callama01,1922,1,CHN,NL,74,175,31,45,7,4,0,20,2,3,17,17,,1,2,,
careyma01,1922,1,PIT,NL,155,629,140,207,28,12,10,70,51,2,80,26,,4,19,,
carlsha01,1922,1,PIT,NL,39,56,10,15,2,0,1,9,0,0,2,7,,0,4,,
causere01,1922,1,NY1,NL,25,21,4,5,0,0,0,3,0,0,0,5,,0,1,,
cavenik01,1922,1,CIN,NL,118,394,41,94,12,9,3,54,6,6,29,33,,6,24,,
chapled01,1922,1,BOS,AL,28,69,8,13,1,1,0,6,2,1,9,9,,0,2,,
cheevvi01,1922,1,CHN,NL,39,62,6,13,1,1,1,3,0,1,2,16,,2,2,,
chrisll01,1922,1,BSN,NL,71,152,22,38,5,2,1,13,2,4,18,11,,2,5,,
clantuk01,1922,1,CLE,AL,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,,
clarkda04,1922,1,DET,AL,83,185,31,54,11,3,3,26,1,0,15,11,,0,5,,
clemove01,1922,1,SLN,NL,71,160,9,41,4,0,0,15,1,0,18,5,,0,1,,
cobbty01,1922,1,DET,AL,137,526,99,211,42,16,4,99,9,13,55,24,,4,27,,
colebe01,1922,1,DET,AL,27,25,2,4,0,0,0,1,0,0,2,9,,0,0,,
collied01,1922,1,CHA,AL,154,598,92,194,20,12,1,69,20,12,73,16,,3,27,,
